사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Mar-23,2호선,216,잠실(송파구청),65,13,"13,534","4,755","49,645","36,293","130,053","84,446","182,519","181,408","134,072","150,784","89,448","116,427","86,391","121,453","94,605","115,852","102,823","119,135","110,396","120,107","126,814","135,150","152,691","149,393","195,589","192,316","241,264","248,888","163,331","168,185","159,056","104,198","144,068","97,073","102,964","90,760","34,593","49,421","5,188","10,659",6,106,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,217,잠실새내,48,3,"5,215",816,"17,896","9,283","63,728","18,729","89,277","29,545","56,468","31,241","37,073","25,004","34,208","27,870","35,020","31,462","34,225","35,304","31,374","37,343","35,472","42,671","38,765","49,556","40,975","66,114","44,501","92,682","33,049","65,713","29,521","38,872","27,884","34,044","26,972","32,173","14,496","18,468","2,248","5,750",0,115,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,218,종합운동장,14,1,"1,307",804,"6,447","10,152","18,731","18,447","25,340","28,583","17,785","14,994","15,402","13,480","15,612","11,990","15,107","18,280","17,392","14,238","15,373","13,652","15,928","13,589","23,718","14,667","19,789","19,200","17,695","30,155","10,917","18,794","8,366","11,162","13,480","11,071","4,919","10,901","1,619","6,173",294,"1,766",3,119,2,1,0,0,2023-04-03 9:45
Mar-23,2호선,219,삼성(무역센터),120,1,"4,795","5,537","7,327","41,760","15,252","148,514","21,211","365,642","22,509","258,776","25,258","119,790","37,082","86,543","46,907","77,564","63,065","84,558","77,947","71,499","102,580","61,626","131,379","57,695","224,633","63,370","324,828","64,759","163,186","37,607","120,926","19,084","110,253","15,492","69,267","12,361","20,122","7,033","2,805","4,343",0,"1,190",0,0,0,0,2023-04-03 9:45
Mar-23,2호선,220,선릉,97,1,"5,168","6,441","11,624","42,157","22,886","122,275","36,064","302,906","33,803","238,548","37,077","111,551","46,765","67,756","56,382","59,352","66,362","68,557","76,727","57,728","98,647","50,889","125,234","50,554","202,908","59,216","313,433","63,198","159,634","40,117","100,791","23,296","98,132","20,314","80,812","18,515","29,475","11,271","4,247","4,714",0,177,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,221,역삼,61,1,"3,786","8,097","9,163","41,483","16,938","159,154","28,164","398,023","25,072","333,933","25,540","141,950","34,355","74,249","42,930","63,364","51,170","70,085","61,057","55,113","81,365","48,607","104,813","45,487","225,150","54,453","294,729","62,518","168,347","39,896","98,447","23,588","93,000","19,283","64,087","16,698","24,043","10,067","3,845","3,465",1,21,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,222,강남,189,4,"9,656","11,869","18,762","55,344","41,961","161,569","68,731","316,742","55,745","323,184","54,737","154,093","70,510","108,073","86,904","102,579","101,335","117,699","113,407","104,239","139,737","99,844","170,116","109,787","252,509","143,634","327,962","192,553","221,451","117,295","172,435","60,236","200,136","47,709","183,816","40,835","85,536","25,158","14,635","7,593",6,51,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,223,교대(법원.검찰청),35,0,"2,956","7,406","12,027","27,167","29,251","62,786","41,353","169,163","33,537","151,341","30,704","74,771","36,126","63,642","38,287","58,114","47,585","58,918","56,986","54,240","61,565","51,591","64,806","54,378","105,203","69,586","146,594","80,814","74,853","47,958","60,347","28,056","62,685","25,206","50,996","23,467","19,391","12,844","3,376","3,928",0,8,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,224,서초,15,0,"1,738","5,618","9,618","21,974","19,903","54,221","31,016","120,990","30,151","99,052","22,903","48,280","29,486","37,017","27,289","27,043","35,782","28,783","38,091","26,692","46,063","21,880","51,022","24,547","74,353","27,765","101,618","29,596","49,371","21,037","34,101","12,305","33,352","11,653","21,390","11,278","7,155","6,535",975,"1,710",0,2,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,225,방배,1,1,"2,653","2,881","9,714","13,056","24,623","29,081","34,861","89,603","27,944","68,985","22,141","42,644","23,644","30,749","25,849","31,458","28,447","27,778","33,261","28,643","37,771","26,815","47,044","28,361","57,540","36,525","77,149","40,556","36,348","29,857","27,598","19,017","25,555","17,351","21,563","17,997","8,360","10,467","1,568","3,211",0,8,0,1,0,0,2023-04-03 9:45
